0,2,4,1,0,2,2,1,1,2,1,1,1,0,2,1,0,1,1
1,2,4,1,3,2,2,1,2,2,3,2,1,0,2,2,0,1,2
2,2,1,1,3,1,2,0,2,2,0,1,1,0,1,2,1,0,2
3,1,1,1,0,2,3,1,1,2,0,1,1,0,0,2,1,1,1
4,3,4,1,3,2,3,3,3,2,1,4,0,0,2,3,3,3,2
5,3,4,0,2,2,1,1,3,2,0,2,0,1,0,2,1,1,1
6,3,4,1,0,2,3,1,2,2,1,3,1,3,0,3,0,4,2
7,2,0,1,0,2,3,0,0,2,3,0,1,0,2,3,1,2,2
8,0,1,0,1,0,2,0,1,1,1,1,0,1,0,1,0,2,1
9,0,1,1,0,2,2,3,0,2,1,1,1,1,2,1,0,1,1
10,0,1,1,1,2,2,1,2,2,0,2,1,0,2,2,0,4,2
11,3,1,0,2,2,2,0,1,2,3,1,1,3,1,3,0,1,2
12,1,2,1,0,2,2,1,1,1,0,1,1,3,2,1,1,2,1
13,2,4,1,0,2,3,3,4,2,1,1,0,1,0,1,1,0,1
14,1,4,1,3,0,2,0,0,2,1,3,1,0,2,3,1,3,2
15,1,2,1,3,2,1,1,3,2,1,2,1,3,2,1,3,3,2
16,1,1,1,3,2,0,0,0,2,0,2,1,0,2,1,1,1,1
17,0,1,1,1,2,1,1,1,1,3,1,0,2,2,2,3,3,2
18,3,1,1,2,2,3,0,0,2,1,2,1,0,2,2,3,2,2
19,1,0,1,1,2,2,0,1,2,3,1,0,3,2,2,0,3,2
20,2,1,1,1,2,1,0,3,2,3,1,1,0,2,2,1,4,1
21,3,1,0,2,2,2,0,2,2,2,1,0,3,0,2,1,4,2
22,1,2,1,0,2,2,1,2,2,2,4,1,0,2,2,3,4,2
23,0,4,1,0,2,2,1,0,2,1,1,0,2,2,1,1,0,2
24,2,0,1,0,2,1,1,3,2,2,0,1,1,2,1,0,1,2
25,2,1,0,2,2,1,1,3,2,3,1,2,3,2,3,1,4,2
26,1,2,1,0,2,2,1,1,1,3,4,1,3,2,3,3,4,2
27,0,1,1,3,2,3,0,0,2,1,1,1,1,0,1,0,1,1
28,1,1,1,0,2,2,1,1,2,2,1,0,2,2,2,1,3,2
29,3,1,0,3,2,2,0,3,2,2,1,1,1,0,2,0,4,1
30,2,1,1,1,2,2,0,0,2,2,1,1,3,2,2,1,3,2
31,2,1,1,0,2,1,0,0,2,1,1,1,0,2,3,0,3,2
32,2,4,1,0,2,3,1,2,2,3,0,1,1,2,1,1,3,2
33,1,1,1,0,2,3,0,0,2,0,1,1,2,2,2,1,2,2
34,2,2,1,0,2,2,1,3,2,2,0,1,0,0,2,0,2,2
35,2,1,1,3,1,3,0,4,2,3,1,2,4,0,2,0,3,2
